evaluation_id,project_id,category,input_text,expected_record_ids,retrieved_top_5,retrieved_scores,hit_at_1,hit_at_5,first_match_rank,mrr
GE-022,PROJ-002,Requirement Summary,The system should analyze images and identify objects scenes summaries and text.,REQ-021;REQ-022;REQ-023;REQ-024;REQ-025,REQ-023;TC-064;REQ-022;REQ-025;REQ-018,0.4617;0.4516;0.4157;0.4093;0.3978,True,True,1,1.0
GE-023,PROJ-002,Test Case Generation,Upload a PNG image that is smaller than 10 MB.,TC-052,BUG-084;TC-056;BUG-081;TC-055;TC-052,0.5273;0.4851;0.4748;0.4651;0.4632,False,True,5,0.2
GE-024,PROJ-002,Test Case Generation,Upload a PDF file instead of an image.,TC-054,BUG-081;BUG-110,0.4816;0.3584,False,False,,0.0
GE-025,PROJ-002,Defect Triage,An image larger than 10 MB is accepted.,BUG-084,BUG-084;TC-056;TC-055;REQ-019;REQ-018,0.5855;0.5812;0.5393;0.4877;0.3998,True,True,1,1.0
GE-026,PROJ-002,Defect Triage,Follow-up questions lose the analyzed image context.,BUG-099,BUG-099;BUG-097;BUG-110;TC-072;TC-074,0.6251;0.4975;0.4249;0.4236;0.4150,True,True,1,1.0
GE-027,PROJ-002,Log Analysis,Unsupported image format: application/pdf,BUG-082,REQ-018;BUG-097;REQ-020;BUG-110;BUG-081,0.4629;0.3800;0.3769;0.3738;0.3578,False,False,,0.0
GE-028,PROJ-002,Log Analysis,AI analysis request exceeded timeout.,BUG-087,BUG-087;LOG-128;LOG-130;TC-081;LOG-131,0.5830;0.4624;0.4500;0.4499;0.4473,True,True,1,1.0
GE-029,PROJ-002,Release Notes,Release 0.3.0 added AI image analysis capabilities.,REL-013,REQ-021;REQ-030;REQ-028;REQ-018;REQ-020,0.5817;0.5719;0.5632;0.5473;0.5468,False,False,,0.0
GE-030,PROJ-002,Release Notes,Release 0.4.0 added follow-up questions and frontend result handling.,REL-014,PROJ-002_REL-014;BUG-108;PROJ-002_REL-011;PROJ-002_REL-013;TC-084,0.3874;0.3701;0.3319;0.3298;0.3214,False,False,,0.0
GE-201,PROJ-003,Requirement,The system shall allow a user to upload a document for summarization.,REQ-033,REQ-033;REQ-034;REQ-048;PROJ-003_REL-003;REQ-036,0.6428;0.4829;0.4611;0.3823;0.3538,True,True,1,1.0
GE-202,PROJ-003,Requirement,The system shall accept PDF and DOCX documents for summarization.,REQ-034,REQ-034;REQ-036;REQ-037;REQ-033;BUG-114,0.6868;0.4990;0.4980;0.4796;0.4755,True,True,1,1.0
GE-203,PROJ-003,Requirement,The system shall reject documents larger than the configured 10 MB limit.,REQ-035,REQ-035;TC-105;REQ-038;BUG-112;TC-104,0.7202;0.5246;0.5105;0.4782;0.4580,True,True,1,1.0
GE-204,PROJ-003,Requirement,The system shall extract readable text from PDF documents.,REQ-036,REQ-036;BUG-114;REQ-037;TC-107;TC-108,0.6330;0.5563;0.5469;0.5425;0.5323,True,True,1,1.0
GE-205,PROJ-003,Requirement,The system shall extract paragraph text from DOCX documents.,REQ-037,TC-111;TC-113;REQ-037;BUG-117;TC-112,0.6406;0.6083;0.6012;0.5900;0.5657,False,True,3,0.3333333333333333
GE-217,PROJ-003,Test Case,Verify a valid PDF document can be uploaded.,TC-101,TC-101;TC-102;TC-109;TC-108;TC-110,0.6090;0.5590;0.5388;0.5255;0.4854,True,True,1,1.0
GE-218,PROJ-003,Test Case,Verify a valid DOCX document can be uploaded.,TC-102,TC-102;TC-113;TC-114;TC-111;TC-112,0.7040;0.6312;0.6242;0.6050;0.5674,True,True,1,1.0
GE-219,PROJ-003,Test Case,Verify an unsupported file type is rejected.,TC-103,TC-103;BUG-111;TC-136;TC-115;TC-117,0.6754;0.6492;0.5513;0.4966;0.4919,True,True,1,1.0
GE-220,PROJ-003,Test Case,Verify a document larger than 10 MB is rejected.,TC-105,TC-105;TC-104;TC-143;REQ-035;TC-148,0.7030;0.6373;0.5369;0.5321;0.4899,True,True,1,1.0
GE-221,PROJ-003,Test Case,Verify readable text is extracted from a PDF.,TC-107,TC-107;TC-108;TC-109;TC-111;TC-110,0.7040;0.6869;0.6687;0.6157;0.5967,True,True,1,1.0
GE-231,PROJ-004,Requirement,The system shall generate an email from user-provided bullet points.,REQ-049,REQ-049;REQ-051;TC-151;TC-162;REQ-058,0.7319;0.4929;0.4510;0.4169;0.3923,True,True,1,1.0
GE-232,PROJ-004,Requirement,The system shall support Professional Friendly and Formal email tones.,REQ-050,REQ-050;TC-153;REQ-055;TC-154;TC-152,0.7223;0.4915;0.4643;0.4498;0.4382,True,True,1,1.0
GE-233,PROJ-004,Requirement,The system shall reject email-generation requests without bullet points.,REQ-051,REQ-051;REQ-049;REQ-060;BUG-141;TC-193,0.7299;0.5705;0.4862;0.4759;0.4183,True,True,1,1.0
GE-234,PROJ-004,Requirement,The system shall use Google Gemini to generate email content.,REQ-052,REQ-052;REQ-050;TC-166;TC-168;REQ-058,0.7763;0.4948;0.4776;0.4402;0.4362,True,True,1,1.0
GE-235,PROJ-004,Requirement,The AI generation service shall return subject and body fields.,REQ-053,REQ-053;REQ-062;REQ-057;REQ-060;REQ-049,0.7936;0.4480;0.4436;0.4311;0.4038,True,True,1,1.0
GE-247,PROJ-004,Test Case,Generate email from valid bullet points.,TC-151,TC-151;REQ-049;REQ-051;TC-162;BUG-141,0.6105;0.5904;0.5129;0.5054;0.4805,True,True,1,1.0
GE-248,PROJ-004,Test Case,Generate using Friendly tone.,TC-153,TC-153;TC-152;TC-154;REQ-050;TC-159,0.6083;0.5411;0.5054;0.4998;0.4876,True,True,1,1.0
GE-249,PROJ-004,Test Case,Generate without bullet points.,TC-155,BUG-141;REQ-051;TC-155;TC-162;REQ-049,0.4486;0.4265;0.4175;0.4017;0.3994,False,True,3,0.3333333333333333
GE-250,PROJ-004,Test Case,Handle missing Gemini API key.,TC-164,TC-164;REQ-054;BUG-142;TC-165;TC-168,0.7135;0.6543;0.6004;0.5621;0.5240,True,True,1,1.0
GE-251,PROJ-004,Test Case,Verify a valid email draft.,TC-173,TC-177;TC-181;TC-151;TC-200;TC-173,0.5545;0.5176;0.5138;0.5094;0.5066,False,True,5,0.2
GE-261,PROJ-005,Requirement,The system shall allow users to upload between 1 and 10 PDF files.,REQ-065,REQ-065;REQ-067;REQ-066;REQ-068;TC-202,0.6847;0.4774;0.4688;0.4493;0.4272,True,True,1,1.0
GE-262,PROJ-005,Requirement,The system shall accept only PDF files.,REQ-066,REQ-066;REQ-065;REQ-067;BUG-174;REQ-068,0.5778;0.4940;0.4800;0.4283;0.4223,True,True,1,1.0
GE-263,PROJ-005,Requirement,The system shall reject PDF files larger than 25 MB.,REQ-067,REQ-067;TC-208;REQ-066;BUG-173;REQ-065,0.7510;0.5814;0.5772;0.5760;0.5047,True,True,1,1.0
GE-264,PROJ-005,Requirement,The system shall extract text from PDFs using PyMuPDF.,REQ-068,REQ-068;TC-210;TC-212;BUG-174;REQ-066,0.5872;0.4539;0.4304;0.3936;0.3782,True,True,1,1.0
GE-265,PROJ-005,Requirement,The system shall split extracted PDF text into chunks.,REQ-069,REQ-069;TC-213;REQ-070;REQ-068;BUG-174,0.6680;0.5464;0.4345;0.3782;0.3349,True,True,1,1.0
GE-277,PROJ-005,Test Case,Upload one valid PDF.,TC-201,TC-201;TC-212;TC-202;TC-210;TC-207,0.6069;0.5523;0.5182;0.4619;0.4610,True,True,1,1.0
GE-278,PROJ-005,Test Case,Reject eleven PDFs.,TC-203,REQ-067;TC-203;TC-208;REQ-066;REQ-065,0.5336;0.4944;0.4808;0.4777;0.4469,False,True,2,0.5
GE-279,PROJ-005,Test Case,Reject a non-PDF file.,TC-204,REQ-066;REQ-067;BUG-174;BUG-172;TC-212,0.5824;0.5075;0.5024;0.4852;0.4771,False,False,,0.0
GE-280,PROJ-005,Test Case,Reject a PDF larger than 25 MB.,TC-208,REQ-067;TC-208;BUG-173;REQ-066;TC-209,0.7048;0.5922;0.5217;0.4743;0.4562,False,True,2,0.5
GE-281,PROJ-005,Test Case,Extract text and page metadata from PDF.,TC-210,REQ-068;TC-210;TC-212;TC-211;REQ-069,0.6296;0.5167;0.4439;0.4268;0.3980,False,True,2,0.5
GE-291,PROJ-006,Requirement,The system shall expose a health endpoint.,REQ-081,REQ-081;TC-301,0.5876;0.4689,True,True,1,1.0
GE-292,PROJ-006,Requirement,The system shall accept a meeting transcript as text.,REQ-082,REQ-082;REQ-090;REQ-089;REQ-091;REQ-095,0.7655;0.5532;0.5483;0.5448;0.4716,True,True,1,1.0
GE-293,PROJ-006,Requirement,The system shall allow TXT transcript uploads.,REQ-083,REQ-083;REQ-084;REQ-082;TC-305;REQ-086,0.7719;0.7274;0.5836;0.5567;0.5519,True,True,1,1.0
GE-294,PROJ-006,Requirement,The system shall reject non-TXT transcript uploads.,REQ-084,REQ-084;REQ-083;REQ-086;REQ-082;TC-349,0.7879;0.6648;0.6070;0.5730;0.5690,True,True,1,1.0
GE-295,PROJ-006,Requirement,The system shall accept supported audio and video recordings.,REQ-085,REQ-087;REQ-085;TC-320;REQ-088;TC-323,0.6903;0.6903;0.5606;0.4253;0.4146,False,True,2,0.5
GE-307,PROJ-006,Test Case,Submit a valid meeting transcript.,TC-302,REQ-082;TC-302;TC-348;TC-346;TC-329,0.6560;0.5496;0.5471;0.5459;0.5354,False,True,2,0.5
GE-308,PROJ-006,Test Case,Upload a valid TXT transcript.,TC-305,TC-305;REQ-084;REQ-083;TC-349;TC-343,0.7227;0.6831;0.6779;0.6661;0.5115,True,True,1,1.0
GE-309,PROJ-006,Test Case,Reject a PDF as transcript upload.,TC-306,TC-306;REQ-084;TC-343;TC-307;BUG-219,0.5961;0.5926;0.5547;0.5114;0.5018,True,True,1,1.0
GE-310,PROJ-006,Test Case,Upload a supported MP4 recording.,TC-308,TC-308;TC-320;REQ-085;REQ-087;TC-324,0.5273;0.5178;0.4936;0.4827;0.4103,True,True,1,1.0
GE-311,PROJ-006,Test Case,Reject media larger than 500 MB.,TC-318,TC-318;REQ-086;TC-319;BUG-202;TC-317,0.6400;0.5919;0.4794;0.4322;0.3524,True,True,1,1.0
